khs.dssC,SC.6,nAtomLAC,khs.sCl,khs.dsssP,nRings7,MDEN.22,khs.sNH2,RPCS,ATSc4,BCUTc.1l,ATSc5,nAcid,BCUTp.1l,C4SP3,RNCS,Weta1.unity,LipinskiFailures,khs.dsN,Weta2.unity,khs.aaO,Weta3.unity,Wlambda2.unity,BCUTw.1l,khs.dsCH,khs.aaaC,geomShape,MDEN.23,topoShape,nBase,khs.dCH2
1,0.0895762464275441,0,0,0,2,0.0,0,0.18595495396931,-0.0977334813107262,-0.314392746417417,0.0388012741786009,0,4.74509598963147,0,2.03246071108334,0.5014462312104939,0,0,0.49310120431480103,0,0.48025816360970197,3.3254857025958597,11.999,0,0,0.842029823494,0.0,0.75,0,0
1,0.0958191595217549,4,0,0,2,0.0,0,0.349696470025298,-0.0940002140544051,-0.314124648466523,0.0361215284296581,0,4.47126852047957,0,0.9631565942740831,0.48163867366038793,1,0,0.3428128313902,0,0.4835466841642179,2.58399345350022,11.999,0,0,0.955475285459933,0.0,0.857142857142857,0,0
1,0.0958191595217549,0,0,0,2,0.0,0,0.586997922256499,-0.0936631155134389,-0.314390328247717,0.0332579108038828,0,4.43072168763072,0,2.52314496896713,0.531782471865918,0,0,0.476604351484396,0,0.46486095301712604,3.0912892266776497,11.999,0,0,0.780228990815185,0.0,0.75,0,0
1,0.0895762464275441,0,0,0,2,0.0,0,0.18595495396931,-0.0977334813107262,-0.314392746417417,0.0388012741786009,0,4.74509598963147,0,2.03246071108334,0.50093480331654,0,0,0.493064820110026,0,0.480258629941534,3.3218335854178704,11.999,0,0,0.8426424126933492,0.0,0.75,0,0
1,0.0895762464275441,4,0,0,2,0.0,0,0.135919590352373,-0.0932175454251842,-0.314402839064174,0.0208128711109738,0,5.030717044761531,0,1.7561166240097499,0.514989671158254,0,0,0.40608973313238206,0,0.42758504954543397,3.22892362362486,11.999,1,0,0.940693002399202,0.0,1.0,0,1
1,0.0895762464275441,4,0,0,2,0.0,0,0.11578528437275801,-0.0973631978602329,-0.31440201445255894,0.0385694310674201,0,5.0201699405767,0,1.8077096144832798,0.48925569266334495,0,0,0.39249036215136,0,0.449160017463829,3.23393081617082,11.999,0,0,0.9616593654814499,0.0,1.0,0,0
1,0.0895762464275441,4,0,0,2,0.0,0,0.0913088544868911,-0.0977002832521053,-0.314135619719976,0.0414334388097767,0,5.0607158003506605,0,0.96702519100023,0.447576331114674,1,0,0.3982602751722321,0,0.4400569319373279,7.087911807828981,11.999,0,0,0.6688097165082629,0.0,0.8888888888888891,0,0
1,0.0895762464275441,4,1,0,2,0.0,0,0.0696821315980434,-0.0980084604158981,-0.314135047445677,0.0279951499499228,0,5.062445911211519,0,0.934572021617621,0.45695562533256,1,0,0.44106719759728996,0,0.5061564780975151,8.48262484399601,11.999,0,0,0.7000733217992371,0.0,0.8888888888888891,0,0
2,0.0895762464275441,4,0,0,2,0.0,0,0.0856045778844567,-0.137087220871114,-0.31635772152465197,-0.19624801827014002,0,4.3495529183064505,0,1.7401817638354702,0.445869315208875,0,0,0.48502073297304704,0,0.42719266065756606,7.855534019967481,11.999,0,0,0.546180380798298,0.0,0.875,0,0
1,0.0895762464275441,4,0,0,2,0.0,0,0.101557348289764,-0.099980417820807,-0.314118141086621,0.0390705868766242,0,5.05454977450923,0,1.0143212046169001,0.47021069034382396,1,0,0.48664922630925894,0,0.479539948372618,6.650563148962459,11.999,0,0,0.732234467305971,0.0,0.857142857142857,0,0
1,0.0895762464275441,2,0,0,2,0.0,0,0.11818631649969198,-0.0973599336587515,-0.314395859031156,0.0385595418963993,0,4.90228256001586,0,1.95831324637679,0.496616065817786,0,0,0.45192183913157896,0,0.465838663291334,3.4673903574266296,11.999,0,0,0.75510488874809,0.0,1.0,0,0
1,0.0895762464275441,6,0,0,2,0.0,0,0.763877878311083,-0.0973631978706951,-0.31440808104187,0.0385694309825952,0,5.0496371370832405,0,1.8779769393987802,0.48345793312030205,1,0,0.36156366395379796,0,0.466187013132406,3.0070083590220897,11.999,0,0,0.8069038737329829,0.0,1.0,0,0
1,0.0895762464275441,3,0,0,2,0.0,0,0.22738204591588396,-0.0973663476105031,-0.314401962258266,0.0385791531605612,0,5.05946885479638,0,1.87451121605573,0.48588729515151596,0,0,0.439398039366222,0,0.503831929947563,3.00705045053192,11.999,0,0,0.8050417574740479,0.0,0.8,0,0
1,0.0895762464275441,5,0,0,2,0.0,0,0.7614059685359241,-0.0973631978811164,-0.31440802580987,0.0385694308981264,0,5.05946749910785,0,1.91222901701498,0.48221626003574697,1,0,0.379992404397204,0,0.516685867038903,3.12090853341246,11.999,0,0,0.868295387864625,0.0,0.833333333333333,0,0
1,0.0895762464275441,3,0,0,2,0.0,0,0.144721662413073,-0.09700580497290302,-0.31439889227212897,0.0383304868835776,0,5.05946962788295,0,1.93182170580173,0.518167207095616,0,0,0.45905550255328603,0,0.517731191432447,3.31697927093589,11.999,0,0,0.7738840427093829,0.0,1.0,0,0
1,0.0895762464275441,4,0,0,2,0.0,0,0.136145804119918,-0.0973632130285525,-0.314405002952824,0.0385693891853677,0,5.05946812560976,0,1.8190778523154199,0.505638747230149,1,0,0.40698636847085295,0,0.514625029254706,3.15136164063516,11.999,0,0,0.96164879379858,0.0,1.0,0,0
1,0.0958191595217549,3,1,0,2,0.0,0,0.305568427369989,-0.0943083903731558,-0.31412406566187895,0.0226832674065701,0,4.472998633028441,0,0.9818851336416851,0.495890855664609,1,0,0.42505335818004397,0,0.485878111346334,3.22697396945669,11.999,0,0,0.756396782785621,0.0,0.857142857142857,0,0
1,0.0958191595217549,2,0,0,2,0.0,0,0.315890301395711,-0.11319932805222802,-0.314106917339335,0.0430836154712007,0,4.47502610231629,0,0.991409780599207,0.499218523366568,0,0,0.345990100661218,0,0.451566873151144,2.65209445470577,11.999,0,0,0.809724372963037,0.0,0.833333333333333,0,0
1,0.0958191595217549,4,0,0,2,0.0,0,4.50328910537271,-0.0962803486376389,-0.314106704511049,0.0337586757514844,0,4.46510498068936,0,1.23264142626541,0.48483244157624106,0,0,0.417350337173049,0,0.43774082378444606,3.0189120350918,11.999,0,0,0.9658498878919959,0.0,0.8,0,0
2,0.0958191595217549,3,0,0,2,0.0,0,0.348931620858494,-0.13338710121031,-0.316354084807289,-0.20155869385928601,0,4.34494266234689,0,2.0649746188961897,0.456252260259817,0,0,0.409505821198499,0,0.40731726881444297,2.94859071073429,11.999,0,0,0.8974101414726751,0.0,0.833333333333333,0,0
1,0.0958191595217549,2,0,0,2,0.0,0,0.536119004295864,-0.0964039081268078,-0.31411108178784697,0.0338517777037315,0,4.45036969490985,0,1.22173193179457,0.500908978040097,0,0,0.43132352061129,0,0.43038643971763396,3.2119265882430796,11.999,0,0,0.7710331054738321,0.0,0.75,0,0
1,0.0958191595217549,0,0,0,2,0.0,0,0.9085501730015971,-0.0970508402470848,-0.31673619900148103,0.0502678975250593,0,4.39142496440541,0,3.8550998173407502,0.5606035085019649,0,0,0.501450673283291,0,0.49066436876080105,2.7768742306799306,11.999,0,0,0.7372556093086301,0.0,0.75,0,0
1,0.0958191595217549,3,0,0,2,0.0,0,0.5022425816405061,-0.0961595604030598,-0.314096318331287,0.0336646689780367,0,4.47001760305415,0,1.07557711479629,0.5330247376151861,0,0,0.417430227841205,0,0.47800650074079903,2.99034376789615,11.999,0,0,0.8097212850871809,0.0,0.6,0,0
1,0.0958191595217549,3,0,0,2,0.0,0,0.517828377999029,-0.0962799119228115,-0.31410377744820395,0.0337568343850944,0,4.460193386324519,0,1.17454818395749,0.4897750022962771,0,0,0.41010156299257794,0,0.418163898361291,3.04117033193533,11.999,0,0,0.8210211502307071,0.0,0.6,0,0
1,0.0895762464275441,3,1,0,2,0.0,0,0.07528691227836999,-0.0942812230158324,-0.31441944153844303,0.0486221010878916,0,5.08332493943713,0,1.5983984422234498,0.470823191540642,1,0,0.35134729720540897,0,0.481006775532834,3.17568071837004,11.999,0,0,0.8428580280259359,0.0,1.0,0,0
1,0.210854729866001,0,0,0,2,0.0,0,1.86152745358803,-0.139074872188079,-0.31439629399180297,0.0459252004821264,0,5.9124682546596805,0,1.97390353863439,0.521090579923321,0,0,0.496692059005309,0,0.49914301591394,3.78556144588317,11.999,0,0,0.7857590843620591,0.0,1.0,0,0
1,0.210854729866001,0,0,0,2,0.0,0,0.197007133861962,-0.152148291668137,-0.392341514275442,0.0477415456318379,0,4.8564591018355,0,3.0403782837129,0.524602984925529,0,0,0.456525912992195,0,0.499694747546866,3.76914084828169,11.999,0,0,0.7907925905077628,0.0,1.0,0,0
2,0.0895762464275441,0,0,0,2,0.0,0,0.7138363734688209,-0.11433643877258699,-0.31436457425664505,0.0610454467190939,0,4.83547089063793,0,2.30369304426229,0.514349344315208,0,0,0.5175623008879611,0,0.5138961774594439,3.4391090816859595,11.999,0,0,0.7358035903912841,0.0,0.75,0,1
1,0.0895762464275441,2,0,0,2,1.0,0,0.0236085919571302,-0.0886244909458051,-0.314402480087452,0.0905065760892794,0,4.88479200973154,0,1.68576778415562,0.500435217653691,0,2,0.417100224581154,0,0.41252689186159097,3.2234928910823304,11.999,0,0,0.9147001408742459,0.0,1.0,0,0
2,0.0895762464275441,2,0,0,2,0.0,0,0.335700943513972,-0.0947770133101537,-0.314367416178928,0.0503744937336696,0,4.992657529791661,0,2.25502544801469,0.493277776569484,0,0,0.424628899770296,0,0.43290588564959204,3.73232714422115,11.999,1,0,0.6687391730380021,0.0,1.0,0,0
1,0.0895762464275441,2,0,0,2,0.0,0,0.11818631649969198,-0.0973599336587515,-0.314395859031156,0.0385595418963993,0,4.90228256001586,0,1.95831324637679,0.496616065817786,0,0,0.45192183913157896,0,0.465838663291334,3.4673903574266296,11.999,0,0,0.75510488874809,0.0,1.0,0,0
2,0.0895762464275441,0,0,0,2,0.0,0,0.9380971187581021,-0.0436213376034764,-0.31438345609317603,-0.0521339992909883,0,4.5112198170935,0,1.8177928348952201,0.507920084701575,0,0,0.39015478218611205,0,0.433719388862367,3.0935642873223705,11.999,0,0,0.7852612314704279,0.0,0.75,0,0
1,0.0895762464275441,5,0,0,2,0.0,0,0.0842675550622683,-0.0973631978706941,-0.314405058128543,0.0385694309826145,0,5.03981583927536,0,1.7541811096386901,0.4872522718130471,1,0,0.37702568377695,0,0.45346740714063793,3.0750973332457594,11.999,0,0,0.8683309297481491,0.0,0.833333333333333,0,0
1,0.0895762464275441,4,0,0,2,0.0,0,0.119023664511979,-0.0966337895093257,-0.314419852947948,0.0420676689599617,0,5.069485848716259,0,1.51166408365445,0.467370866456075,1,0,0.360851556735252,0,0.49370080725685106,2.7734598030315096,11.999,0,0,0.931523211997802,0.0,1.0,0,0
1,0.0895762464275441,2,0,0,2,0.0,0,0.6709164337931801,-0.0928266248936492,-0.314413954368895,0.0216205378977003,0,5.09954218817192,0,1.84298945607099,0.481963156070476,1,0,0.37996191326894996,0,0.466134081372348,2.8691144016467796,11.999,0,0,0.860710714428225,0.0,1.0,0,0
1,0.0895762464275441,3,0,0,2,0.0,0,0.809017036557105,-0.0939209288945925,-0.314416910717928,0.0431694895126621,0,5.0795047485515,0,1.7986407534311297,0.470325024220675,1,0,0.35043224857036503,0,0.49215862174702296,3.15200016199153,11.999,0,0,0.898603630374068,0.0,0.857142857142857,0,0
1,0.0895762464275441,3,0,0,2,0.0,0,0.11445396792507401,-0.0973631825229362,-0.314398949350493,0.0385694734262635,0,4.9808749759775095,0,1.9281841958258403,0.49307261091793897,0,0,0.41925187570628597,0,0.44451649895290596,3.2832550127890996,11.999,0,0,0.818187490958606,0.0,0.8,0,0
0,0.0895762464275441,2,0,0,1,0.0,0,0.261271282426698,-0.10574064061115401,-0.35794786396116496,0.0197403128000745,0,5.042956283132731,0,0.889171783447794,0.46855853613259596,0,0,0.422519815497595,0,0.406660847737714,4.01428164762506,11.9966689875914,0,0,0.8806673856643829,0.0,0.8,0,0
0,0.0895762464275441,0,0,0,1,0.0,0,3.2739319586169398,-0.0417457485757979,-0.36725616832767705,-0.0420388275615483,0,5.190845645052081,0,4.844286025674941,0.480582114491734,0,0,0.5126818206968771,0,0.492267528354998,4.0694792729453795,11.996683082097,0,0,0.781568644322102,0.0,0.75,0,0
1,0.0895762464275441,4,0,0,1,0.0,0,0.280933273278455,-0.0717337050242401,-0.357818707729541,-0.026379045715782996,0,5.0487364627960405,0,1.22038727862485,0.32311392180989695,1,0,0.38223208131563896,0,0.46573122787630394,3.1516890034753797,11.996636693043401,0,0,0.961171458742095,0.0,0.857142857142857,0,0
1,0.0895762464275441,3,0,0,1,0.0,0,0.09363500744326599,-0.0724609601349992,-0.357807338142794,-0.0298464100860592,0,4.96012561733035,0,1.4617254186558202,0.473596079435241,0,0,0.40061135475723497,0,0.4273360113053761,3.72469809688136,11.9966689875914,0,0,0.768125027990952,0.0,1.0,0,0
1,0.0895762464275441,6,0,0,1,0.0,0,0.909037803727004,-0.0724609754574956,-0.3578122934768979,-0.0298464519221248,0,5.02888884714114,0,1.2979461230249398,0.464987396361822,1,0,0.353423139242366,0,0.456808024486349,3.3041577562492,11.996652640989302,0,0,0.906591010873622,0.0,0.833333333333333,0,0
0,0.0895762464275441,0,0,0,1,0.0,0,0.0809728517771809,0.0407429799708766,-0.35791705900858795,-0.0584282886328853,0,6.505669466854419,0,4.49589777700221,0.479141518235765,0,0,0.539638423621694,0,0.490960083272817,3.83176507369031,11.996683086662099,0,0,0.78166683373771,0.0,1.0,0,0
0,0.0895762464275441,4,0,0,1,0.0,0,0.0723396482131965,0.0407758355882787,-0.35792065322751293,-0.058440541420655,0,5.31557525472024,0,3.8568361310886097,0.46849175990084,0,0,0.38299688455173003,0,0.425572707181625,3.58303248661443,11.996662998928599,0,0,0.965345888225859,0.0,0.8,0,0
1,0.0895762464275441,4,0,0,1,0.0,0,0.8811058248302801,-0.0724609905903517,-0.35781062567783295,-0.0298464931185428,0,5.038718762190361,0,1.36989134191637,0.499588936404553,1,0,0.386531672984221,0,0.504640698470234,3.4916274775753795,11.996657572648498,0,0,0.9571136164842411,0.0,0.8,0,0
1,0.0958191595217549,3,0,0,1,0.0,0,0.806323215044633,-0.0181315910870836,-0.357663481155189,-0.27981073481713603,0,4.36072827686002,0,2.50294734861373,0.46831153540282106,0,0,0.44962023693542497,0,0.40347759197014205,3.05639034962151,11.9966629922714,0,0,0.8215983288749509,0.0,0.833333333333333,0,0
1,0.0958191595217549,2,0,0,1,0.0,0,0.0548487980858931,-0.0928762714767654,-0.35754335919017405,-0.00557907361842173,0,4.4542764800293,0,1.0081267215352399,0.474271836506677,0,0,0.377125981177702,0,0.445674990989729,2.6189131909178998,11.996648136478601,0,0,0.772414057354659,0.0,0.833333333333333,0,0
1,0.0958191595217549,2,0,0,1,0.0,0,1.2191929501073702,-0.0747306578443313,-0.357554782211573,-0.027096002869348,0,4.429620128875469,0,1.33153002306835,0.4893342321890511,0,0,0.45063272473957894,0,0.44766997492123,3.15034525412166,11.996683082097098,0,0,0.8430347196473621,0.0,0.75,0,0
1,0.0958191595217549,3,0,0,1,0.0,0,0.366083171845224,-0.0744502983268178,-0.357538203024389,-0.0274651420876949,0,4.44926800556657,0,0.7144970490157739,0.4704604197218821,0,0,0.442505278766611,0,0.46329476020252297,3.0069544440953897,11.9966689875914,0,0,0.795404139600853,0.0,0.6,0,0
0,0.0958191595217549,3,0,0,1,0.0,0,0.574189639749301,0.0361088840345345,-0.3576535318926021,-0.055387660407735996,0,6.08959765625,0,3.4934345427716202,0.499611507042802,0,0,0.4539822040905189,0,0.45670961844243696,3.0473534938184303,11.9966689912692,0,0,0.796880302340751,0.0,1.0,0,0
1,0.0895762464275441,2,0,0,1,0.0,0,0.29688316039541995,-0.0681942437413777,-0.357815486199433,-0.048013638743537,0,5.07879280789604,0,1.3512768418218501,0.320027560861446,0,0,0.40868526469790706,0,0.444322560601215,3.42894785086062,11.9966440057149,0,0,0.775068016412925,0.0,0.833333333333333,0,0
1,0.0895762464275441,3,0,0,1,0.0,0,0.4155600244053621,-0.0690495228576738,-0.357817104217456,-0.0255173634263772,0,5.058755363692749,0,1.2241670635264499,0.399056633498548,1,0,0.374136893745391,0,0.500764336959514,3.284498699055,11.996640203873,0,0,0.6591420650231109,0.0,1.0,0,0
1,0.0895762464275441,0,0,0,1,0.0,0,0.5014201833696971,-0.0728487760749304,-0.357804523724917,-0.0296586033626417,0,4.72434649372501,0,1.6053468547544398,0.45078391931446,0,0,0.5206324386058521,0,0.5140097020823939,3.73164162852723,11.996683082097,0,0,0.758391253404278,0.0,0.75,0,0
0,0.0895762464275441,0,0,0,2,0.0,0,0.0,0.0011734685113429198,-0.348671323983212,0.0306043666583532,0,6.3497444903880504,0,3.8074004035600697,0.48668734429363303,0,0,0.506858253211087,0,0.48081718521346,3.3946107197082998,11.999,0,0,0.8441010372250071,0.0,0.75,0,0
0,0.0895762464275441,0,0,0,2,0.0,0,3.1294236212751003,-0.0716071711155344,-0.36720569889664395,0.0432614538183149,0,5.21159498108803,0,4.55981547962278,0.49163154435501705,0,0,0.48851541770185003,0,0.49557340249361403,3.6242095809011,11.999,0,0,0.843742301160043,0.0,0.75,0,0
0,0.0895762464275441,2,0,0,2,0.0,0,0.0,-0.138315428350991,-0.351972720042101,0.0975351824917399,0,5.04814323568292,0,0.783351457070622,0.45049966642200606,0,0,0.415825603937411,0,0.432689530105772,4.1541077436383995,11.999,0,0,0.757536024160227,0.0,0.8,0,0
0,0.0895762464275441,4,0,0,2,0.0,0,2.8032981844738503,-0.0714909135346491,-0.36720320146102897,0.0431899684335519,0,5.32809098618613,0,4.2012957584217,0.504325216298539,0,0,0.43733719040895497,0,0.438013667176769,3.13293272667822,11.999,0,0,0.9650732227460741,0.0,1.0,0,0
